x	y	z	x-velocity	y-velocity	z-velocity	uu-reynolds-stress	vv-reynolds-stress	ww-reynolds-stress	vw-reynolds-stress	uw-reynolds-stress	uv-reynolds-stress
-928.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	-0.00000000
-928.00000000	0.18128571	0.00000000	-0.57458986	0.00000000	0.00000000	0.11885526	0.02971382	0.07606737	0.00000000	0.00000000	-0.02971382
-928.00000000	0.36257143	0.00000000	0.21609684	0.00000000	0.00000000	0.01681122	0.00420281	0.01075918	0.00000000	0.00000000	-0.00420281
-928.00000000	0.54385714	0.00000000	0.67861892	0.00000000	0.00000000	0.16578851	0.04144713	0.10610465	0.00000000	0.00000000	-0.04144713
-928.00000000	0.72514286	0.00000000	1.00678355	0.00000000	0.00000000	0.36490072	0.09122518	0.23353646	0.00000000	0.00000000	-0.09122518
-928.00000000	0.90642857	0.00000000	1.26132782	0.00000000	0.00000000	0.57274123	0.14318531	0.36655439	0.00000000	0.00000000	-0.14318531
-928.00000000	1.08771429	0.00000000	1.46930563	0.00000000	0.00000000	0.77718925	0.19429731	0.49740112	0.00000000	0.00000000	-0.19429731
-928.00000000	1.26900000	0.00000000	1.64514836	0.00000000	0.00000000	0.97434472	0.24358618	0.62358062	0.00000000	0.00000000	-0.24358618
-928.00000000	1.45028571	0.00000000	1.79747026	0.00000000	0.00000000	1.16312376	0.29078094	0.74439921	0.00000000	0.00000000	-0.29078094
-928.00000000	1.63157143	0.00000000	1.93182770	0.00000000	0.00000000	1.34350498	0.33587624	0.85984319	0.00000000	0.00000000	-0.33587624
-928.00000000	1.81285714	0.00000000	2.05201453	0.00000000	0.00000000	1.51587490	0.37896873	0.97015994	0.00000000	0.00000000	-0.37896873
-928.00000000	1.99414286	0.00000000	2.16073674	0.00000000	0.00000000	1.68076197	0.42019049	1.07568766	0.00000000	0.00000000	-0.42019049
-928.00000000	2.17542857	0.00000000	2.25999234	0.00000000	0.00000000	1.83872353	0.45968088	1.17678306	0.00000000	0.00000000	-0.45968088
-928.00000000	2.35671429	0.00000000	2.35129864	0.00000000	0.00000000	1.99029790	0.49757448	1.27379066	0.00000000	0.00000000	-0.49757448
-928.00000000	2.53800000	0.00000000	2.43583507	0.00000000	0.00000000	2.13598529	0.53399632	1.36703059	0.00000000	0.00000000	-0.53399632
-928.00000000	2.71928571	0.00000000	2.51453660	0.00000000	0.00000000	2.27624196	0.56906049	1.45679485	0.00000000	0.00000000	-0.56906049
-928.00000000	2.90057143	0.00000000	2.58815697	0.00000000	0.00000000	2.41148034	0.60287009	1.54334742	0.00000000	0.00000000	-0.60287009
-928.00000000	3.08185714	0.00000000	2.65731268	0.00000000	0.00000000	2.54207184	0.63551796	1.62692598	0.00000000	0.00000000	-0.63551796
-928.00000000	3.26314286	0.00000000	2.72251441	0.00000000	0.00000000	2.66835050	0.66708762	1.70774432	0.00000000	0.00000000	-0.66708762
-928.00000000	3.44442857	0.00000000	2.78418996	0.00000000	0.00000000	2.79061694	0.69765424	1.78599484	0.00000000	0.00000000	-0.69765424
-928.00000000	3.62571429	0.00000000	2.84270124	0.00000000	0.00000000	2.90914211	0.72728553	1.86185095	0.00000000	0.00000000	-0.72728553
-928.00000000	3.80700000	0.00000000	2.89835714	0.00000000	0.00000000	3.02417068	0.75604267	1.93546924	0.00000000	0.00000000	-0.75604267
-928.00000000	3.98828571	0.00000000	2.95142345	0.00000000	0.00000000	3.13592413	0.78398103	2.00699144	0.00000000	0.00000000	-0.78398103
-928.00000000	4.16957143	0.00000000	3.00213045	0.00000000	0.00000000	3.24460341	0.81115085	2.07654618	0.00000000	0.00000000	-0.81115085
-928.00000000	4.35085714	0.00000000	3.05067904	0.00000000	0.00000000	3.35039135	0.83759784	2.14425046	0.00000000	0.00000000	-0.83759784
-928.00000000	4.53214286	0.00000000	3.09724550	0.00000000	0.00000000	3.45345469	0.86336367	2.21021100	0.00000000	0.00000000	-0.86336367
-928.00000000	4.71342857	0.00000000	3.14198535	0.00000000	0.00000000	3.55394589	0.88848647	2.27452537	0.00000000	0.00000000	-0.87495488
-928.00000000	4.89471429	0.00000000	3.18503649	0.00000000	0.00000000	3.65200467	0.91300117	2.33728299	0.00000000	0.00000000	-0.87495488
-928.00000000	5.07600000	0.00000000	3.22652178	0.00000000	0.00000000	3.74775940	0.93693985	2.39856602	0.00000000	0.00000000	-0.87495488
-928.00000000	5.25728571	0.00000000	3.26655114	0.00000000	0.00000000	3.84132829	0.96033207	2.45845010	0.00000000	0.00000000	-0.87495488
-928.00000000	5.43857143	0.00000000	3.30522331	0.00000000	0.00000000	3.93282041	0.98320510	2.51700506	0.00000000	0.00000000	-0.87495488
-928.00000000	5.61985714	0.00000000	3.34262731	0.00000000	0.00000000	4.02233664	1.00558416	2.57429545	0.00000000	0.00000000	-0.87495488
-928.00000000	5.80114286	0.00000000	3.37884368	0.00000000	0.00000000	4.10997046	1.02749261	2.63038109	0.00000000	0.00000000	-0.87495488
-928.00000000	5.98242857	0.00000000	3.41394552	0.00000000	0.00000000	4.19580864	1.04895216	2.68531753	0.00000000	0.00000000	-0.87495488
-928.00000000	6.16371429	0.00000000	3.44799939	0.00000000	0.00000000	4.27993191	1.06998298	2.73915642	0.00000000	0.00000000	-0.87495488
-928.00000000	6.34500000	0.00000000	3.48106604	0.00000000	0.00000000	4.36241548	1.09060387	2.79194591	0.00000000	0.00000000	-0.87495488
-928.00000000	6.52628571	0.00000000	3.51320112	0.00000000	0.00000000	4.44332956	1.11083239	2.84373092	0.00000000	0.00000000	-0.87495488
-928.00000000	6.70757143	0.00000000	3.54445567	0.00000000	0.00000000	4.52273976	1.13068494	2.89455345	0.00000000	0.00000000	-0.87495488
-928.00000000	6.88885714	0.00000000	3.57487667	0.00000000	0.00000000	4.60070755	1.15017689	2.94445283	0.00000000	0.00000000	-0.87495488
-928.00000000	7.07014286	0.00000000	3.60450742	0.00000000	0.00000000	4.67729055	1.16932264	2.99346595	0.00000000	0.00000000	-0.87495488
-928.00000000	7.25142857	0.00000000	3.63338794	0.00000000	0.00000000	4.75254287	1.18813572	3.04162743	0.00000000	0.00000000	-0.87495488
-928.00000000	7.43271429	0.00000000	3.66155530	0.00000000	0.00000000	4.82651539	1.20662885	3.08896985	0.00000000	0.00000000	-0.87495488
-928.00000000	7.61400000	0.00000000	3.68904385	0.00000000	0.00000000	4.89925603	1.22481401	3.13552386	0.00000000	0.00000000	-0.87495488
-928.00000000	7.79528571	0.00000000	3.71588556	0.00000000	0.00000000	4.97080997	1.24270249	3.18131838	0.00000000	0.00000000	-0.87495488
-928.00000000	7.97657143	0.00000000	3.74211015	0.00000000	0.00000000	5.04121982	1.26030496	3.22638069	0.00000000	0.00000000	-0.87495488
-928.00000000	8.15785714	0.00000000	3.76774539	0.00000000	0.00000000	5.11052590	1.27763148	3.27073658	0.00000000	0.00000000	-0.87495488
-928.00000000	8.33914286	0.00000000	3.79281716	0.00000000	0.00000000	5.17876632	1.29469158	3.31441045	0.00000000	0.00000000	-0.87495488
-928.00000000	8.52042857	0.00000000	3.81734971	0.00000000	0.00000000	5.24597718	1.31149429	3.35742539	0.00000000	0.00000000	-0.87495488
-928.00000000	8.70171429	0.00000000	3.84136575	0.00000000	0.00000000	5.31219271	1.32804818	3.39980333	0.00000000	0.00000000	-0.87495488
-928.00000000	8.88300000	0.00000000	3.86488658	0.00000000	0.00000000	5.37744539	1.34436135	3.44156505	0.00000000	0.00000000	-0.87495488
-928.00000000	9.06428571	0.00000000	3.88793221	0.00000000	0.00000000	5.44176608	1.36044152	3.48273029	0.00000000	0.00000000	-0.87495488
-928.00000000	9.24557143	0.00000000	3.91052146	0.00000000	0.00000000	5.50518411	1.37629603	3.52331783	0.00000000	0.00000000	-0.87495488
-928.00000000	9.42685714	0.00000000	3.93267205	0.00000000	0.00000000	5.56772742	1.39193185	3.56334555	0.00000000	0.00000000	-0.87495488
-928.00000000	9.60814286	0.00000000	3.95440071	0.00000000	0.00000000	5.62942258	1.40735565	3.60283045	0.00000000	0.00000000	-0.87495488
-928.00000000	9.78942857	0.00000000	3.97572319	0.00000000	0.00000000	5.69029497	1.42257374	3.64178878	0.00000000	0.00000000	-0.87495488
-928.00000000	9.97071429	0.00000000	3.99665442	0.00000000	0.00000000	5.75036876	1.43759219	3.68023600	0.00000000	0.00000000	-0.87495488
-928.00000000	10.15200000	0.00000000	4.01720849	0.00000000	0.00000000	5.80966704	1.45241676	3.71818691	0.00000000	0.00000000	-0.87495488
-928.00000000	10.33328571	0.00000000	4.03739874	0.00000000	0.00000000	5.86821190	1.46705297	3.75565562	0.00000000	0.00000000	-0.87495488
-928.00000000	10.51457143	0.00000000	4.05723785	0.00000000	0.00000000	5.92602442	1.48150611	3.79265563	0.00000000	0.00000000	-0.87495488
-928.00000000	10.69585714	0.00000000	4.07673781	0.00000000	0.00000000	5.98312481	1.49578120	3.82919988	0.00000000	0.00000000	-0.87495488
-928.00000000	10.87714286	0.00000000	4.09591002	0.00000000	0.00000000	6.03953240	1.50988310	3.86530074	0.00000000	0.00000000	-0.87495488
-928.00000000	11.05842857	0.00000000	4.11476532	0.00000000	0.00000000	6.09526571	1.52381643	3.90097006	0.00000000	0.00000000	-0.87495488
-928.00000000	11.23971429	0.00000000	4.13331402	0.00000000	0.00000000	6.15034252	1.53758563	3.93621921	0.00000000	0.00000000	-0.87495488
-928.00000000	11.42100000	0.00000000	4.15156593	0.00000000	0.00000000	6.20477987	1.55119497	3.97105912	0.00000000	0.00000000	-0.87495488
-928.00000000	11.60228571	0.00000000	4.16953039	0.00000000	0.00000000	6.25859412	1.56464853	4.00550023	0.00000000	0.00000000	-0.87495488
-928.00000000	11.78357143	0.00000000	4.18721632	0.00000000	0.00000000	6.31180098	1.57795025	4.03955263	0.00000000	0.00000000	-0.87495488
-928.00000000	11.96485714	0.00000000	4.20463223	0.00000000	0.00000000	6.36441558	1.59110390	4.07322597	0.00000000	0.00000000	-0.87495488
-928.00000000	12.14614286	0.00000000	4.22178623	0.00000000	0.00000000	6.41645244	1.60411311	4.10652956	0.00000000	0.00000000	-0.87495488
-928.00000000	12.32742857	0.00000000	4.23868609	0.00000000	0.00000000	6.46792553	1.61698138	4.13947234	0.00000000	0.00000000	-0.87495488
-928.00000000	12.50871429	0.00000000	4.25533923	0.00000000	0.00000000	6.51884832	1.62971208	4.17206292	0.00000000	0.00000000	-0.87495488
-928.00000000	12.69000000	0.00000000	4.27175275	0.00000000	0.00000000	6.56923376	1.64230844	4.20430961	0.00000000	0.00000000	-0.87495488
-928.00000000	12.87128571	0.00000000	4.28793344	0.00000000	0.00000000	6.61909436	1.65477359	4.23622039	0.00000000	0.00000000	-0.87495488
-928.00000000	13.05257143	0.00000000	4.30388783	0.00000000	0.00000000	6.66844216	1.66711054	4.26780298	0.00000000	0.00000000	-0.87495488
-928.00000000	13.23385714	0.00000000	4.31962214	0.00000000	0.00000000	6.71728877	1.67932219	4.29906481	0.00000000	0.00000000	-0.87495488
-928.00000000	13.41514286	0.00000000	4.33514238	0.00000000	0.00000000	6.76564540	1.69141135	4.33001306	0.00000000	0.00000000	-0.87495488
-928.00000000	13.59642857	0.00000000	4.35045429	0.00000000	0.00000000	6.81352290	1.70338072	4.36065465	0.00000000	0.00000000	-0.87495488
-928.00000000	13.77771429	0.00000000	4.36556338	0.00000000	0.00000000	6.86093170	1.71523292	4.39099629	0.00000000	0.00000000	-0.87495488
-928.00000000	13.95900000	0.00000000	4.38047496	0.00000000	0.00000000	6.90788191	1.72697048	4.42104442	0.00000000	0.00000000	-0.87495488
-928.00000000	14.14028571	0.00000000	4.39519413	0.00000000	0.00000000	6.95438331	1.73859583	4.45080532	0.00000000	0.00000000	-0.87495488
-928.00000000	14.32157143	0.00000000	4.40972579	0.00000000	0.00000000	7.00044535	1.75011134	4.48028502	0.00000000	0.00000000	-0.87495488
-928.00000000	14.50285714	0.00000000	4.42407465	0.00000000	0.00000000	7.04607715	1.76151929	4.50948938	0.00000000	0.00000000	-0.87495488
-928.00000000	14.68414286	0.00000000	4.43824527	0.00000000	0.00000000	7.09128758	1.77282190	4.53842405	0.00000000	0.00000000	-0.87495488
-928.00000000	14.86542857	0.00000000	4.45224201	0.00000000	0.00000000	7.13608520	1.78402130	4.56709452	0.00000000	0.00000000	-0.87495488
-928.00000000	15.04671429	0.00000000	4.46606908	0.00000000	0.00000000	7.18047829	1.79511957	4.59550611	0.00000000	0.00000000	-0.87495488
-928.00000000	15.22800000	0.00000000	4.47973056	0.00000000	0.00000000	7.22447492	1.80611873	4.62366395	0.00000000	0.00000000	-0.87495488
-928.00000000	15.40928571	0.00000000	4.49323036	0.00000000	0.00000000	7.26808286	1.81702072	4.65157303	0.00000000	0.00000000	-0.87495488
-928.00000000	15.59057143	0.00000000	4.50657226	0.00000000	0.00000000	7.31130968	1.82782742	4.67923820	0.00000000	0.00000000	-0.87495488
-928.00000000	15.77185714	0.00000000	4.51975992	0.00000000	0.00000000	7.35416271	1.83854068	4.70666414	0.00000000	0.00000000	-0.87495488
-928.00000000	15.95314286	0.00000000	4.53279686	0.00000000	0.00000000	7.39664906	1.84916227	4.73385540	0.00000000	0.00000000	-0.87495488
-928.00000000	16.13442857	0.00000000	4.54568649	0.00000000	0.00000000	7.43877563	1.85969391	4.76081641	0.00000000	0.00000000	-0.87495488
-928.00000000	16.31571429	0.00000000	4.55843209	0.00000000	0.00000000	7.48054913	1.87013728	4.78755145	0.00000000	0.00000000	-0.87495488
-928.00000000	16.49700000	0.00000000	4.57103686	0.00000000	0.00000000	7.52197607	1.88049402	4.81406469	0.00000000	0.00000000	-0.87495488
-928.00000000	16.67828571	0.00000000	4.58350387	0.00000000	0.00000000	7.56306277	1.89076569	4.84036017	0.00000000	0.00000000	-0.87495488
-928.00000000	16.85957143	0.00000000	4.59583609	0.00000000	0.00000000	7.60381538	1.90095385	4.86644185	0.00000000	0.00000000	-0.87495488
-928.00000000	17.04085714	0.00000000	4.60803642	0.00000000	0.00000000	7.64423988	1.91105997	4.89231352	0.00000000	0.00000000	-0.87495488
-928.00000000	17.22214286	0.00000000	4.62010764	0.00000000	0.00000000	7.68434207	1.92108552	4.91797892	0.00000000	0.00000000	-0.87495488
-928.00000000	17.40342857	0.00000000	4.63205246	0.00000000	0.00000000	7.72412760	1.93103190	4.94344167	0.00000000	0.00000000	-0.87495488
-928.00000000	17.58471429	0.00000000	4.64387350	0.00000000	0.00000000	7.76360198	1.94090050	4.96870527	0.00000000	0.00000000	-0.87495488
-928.00000000	17.76600000	0.00000000	4.65557329	0.00000000	0.00000000	7.80277056	1.95069264	4.99377316	0.00000000	0.00000000	-0.87495488
-928.00000000	17.94728571	0.00000000	4.66715430	0.00000000	0.00000000	7.84163854	1.96040964	5.01864867	0.00000000	0.00000000	-0.87495488
-928.00000000	18.12857143	0.00000000	4.67861892	0.00000000	0.00000000	7.88021100	1.97005275	5.04333504	0.00000000	0.00000000	-0.87495488
-928.00000000	18.30985714	0.00000000	4.68996946	0.00000000	0.00000000	7.91849287	1.97962322	5.06783544	0.00000000	0.00000000	-0.87495488
-928.00000000	18.49114286	0.00000000	4.70120817	0.00000000	0.00000000	7.95648897	1.98912224	5.09215294	0.00000000	0.00000000	-0.87495488
-928.00000000	18.67242857	0.00000000	4.71233723	0.00000000	0.00000000	7.99420398	1.99855100	5.11629055	0.00000000	0.00000000	-0.87495488
-928.00000000	18.85371429	0.00000000	4.72335876	0.00000000	0.00000000	8.03164248	2.00791062	5.14025119	0.00000000	0.00000000	-0.87495488
-928.00000000	19.03500000	0.00000000	4.73427483	0.00000000	0.00000000	8.06880892	2.01720223	5.16403771	0.00000000	0.00000000	-0.87495488
-928.00000000	19.21628571	0.00000000	4.74508742	0.00000000	0.00000000	8.10570765	2.02642691	5.18765290	0.00000000	0.00000000	-0.87495488
-928.00000000	19.39757143	0.00000000	4.75579848	0.00000000	0.00000000	8.14234290	2.03558573	5.21109946	0.00000000	0.00000000	-0.87495488
-928.00000000	19.57885714	0.00000000	4.76640990	0.00000000	0.00000000	8.17871881	2.04467970	5.23438004	0.00000000	0.00000000	-0.87495488
-928.00000000	19.76014286	0.00000000	4.77692352	0.00000000	0.00000000	8.21483940	2.05370985	5.25749722	0.00000000	0.00000000	-0.87495488
-928.00000000	19.94142857	0.00000000	4.78734113	0.00000000	0.00000000	8.25070863	2.06267716	5.28045352	0.00000000	0.00000000	-0.87495488
-928.00000000	20.12271429	0.00000000	4.79766445	0.00000000	0.00000000	8.28633032	2.07158258	5.30325140	0.00000000	0.00000000	-0.87495488
-928.00000000	20.30400000	0.00000000	4.80789519	0.00000000	0.00000000	8.32170823	2.08042706	5.32589327	0.00000000	0.00000000	-0.87495488
-928.00000000	20.48528571	0.00000000	4.81803499	0.00000000	0.00000000	8.35684603	2.08921151	5.34838146	0.00000000	0.00000000	-0.87495488
-928.00000000	20.66657143	0.00000000	4.82808545	0.00000000	0.00000000	8.39174729	2.09793682	5.37071826	0.00000000	0.00000000	-0.87495488
-928.00000000	20.84785714	0.00000000	4.83804813	0.00000000	0.00000000	8.42641551	2.10660388	5.39290592	0.00000000	0.00000000	-0.87495488
-928.00000000	21.02914286	0.00000000	4.84792456	0.00000000	0.00000000	8.46085410	2.11521353	5.41494663	0.00000000	0.00000000	-0.87495488
-928.00000000	21.21042857	0.00000000	4.85771620	0.00000000	0.00000000	8.49506642	2.12376660	5.43684251	0.00000000	0.00000000	-0.87495488
-928.00000000	21.39171429	0.00000000	4.86742452	0.00000000	0.00000000	8.52905571	2.13226393	5.45859565	0.00000000	0.00000000	-0.87495488
-928.00000000	21.57300000	0.00000000	4.87705090	0.00000000	0.00000000	8.56282517	2.14070629	5.48020811	0.00000000	0.00000000	-0.87495488
-928.00000000	21.75428571	0.00000000	4.88659673	0.00000000	0.00000000	8.59637793	2.14909448	5.50168187	0.00000000	0.00000000	-0.87495488
-928.00000000	21.93557143	0.00000000	4.89606334	0.00000000	0.00000000	8.62971703	2.15742926	5.52301890	0.00000000	0.00000000	-0.87495488
-928.00000000	22.11685714	0.00000000	4.90545203	0.00000000	0.00000000	8.66284546	2.16571137	5.54422110	0.00000000	0.00000000	-0.87495488
-928.00000000	22.29814286	0.00000000	4.91476408	0.00000000	0.00000000	8.69576615	2.17394154	5.56529033	0.00000000	0.00000000	-0.87495488
-928.00000000	22.47942857	0.00000000	4.92400073	0.00000000	0.00000000	8.72848194	2.18212049	5.58622844	0.00000000	0.00000000	-0.87495488
-928.00000000	22.66071429	0.00000000	4.93316319	0.00000000	0.00000000	8.76099564	2.19024891	5.60703721	0.00000000	0.00000000	-0.87495488
-928.00000000	22.84200000	0.00000000	4.94225263	0.00000000	0.00000000	8.79330999	2.19832750	5.62771840	0.00000000	0.00000000	-0.87495488
-928.00000000	23.02328571	0.00000000	4.95127023	0.00000000	0.00000000	8.82542768	2.20635692	5.64827371	0.00000000	0.00000000	-0.87495488
-928.00000000	23.20457143	0.00000000	4.96021710	0.00000000	0.00000000	8.85735131	2.21433783	5.66870484	0.00000000	0.00000000	-0.87495488
-928.00000000	23.38585714	0.00000000	4.96909434	0.00000000	0.00000000	8.88908347	2.22227087	5.68901342	0.00000000	0.00000000	-0.87495488
-928.00000000	23.56714286	0.00000000	4.97790303	0.00000000	0.00000000	8.92062668	2.23015667	5.70920108	0.00000000	0.00000000	-0.87495488
-928.00000000	23.74842857	0.00000000	4.98664422	0.00000000	0.00000000	8.95198341	2.23799585	5.72926938	0.00000000	0.00000000	-0.87495488
-928.00000000	23.92971429	0.00000000	4.99531894	0.00000000	0.00000000	8.98315606	2.24578901	5.74921988	0.00000000	0.00000000	-0.87495488
-928.00000000	24.11100000	0.00000000	5.00392818	0.00000000	0.00000000	9.01414702	2.25353675	5.76905409	0.00000000	0.00000000	-0.87495488
-928.00000000	24.29228571	0.00000000	5.01247294	0.00000000	0.00000000	9.04495859	2.26123965	5.78877350	0.00000000	0.00000000	-0.87495488
-928.00000000	24.47357143	0.00000000	5.02095417	0.00000000	0.00000000	9.07559307	2.26889827	5.80837957	0.00000000	0.00000000	-0.87495488
-928.00000000	24.65485714	0.00000000	5.02937280	0.00000000	0.00000000	9.10605268	2.27651317	5.82787372	0.00000000	0.00000000	-0.87495488
-928.00000000	24.83614286	0.00000000	5.03772976	0.00000000	0.00000000	9.13633961	2.28408490	5.84725735	0.00000000	0.00000000	-0.87495488
-928.00000000	25.01742857	0.00000000	5.04602594	0.00000000	0.00000000	9.16645601	2.29161400	5.86653185	0.00000000	0.00000000	-0.87495488
-928.00000000	25.19871429	0.00000000	5.05426222	0.00000000	0.00000000	9.19640398	2.29910099	5.88569855	0.00000000	0.00000000	-0.87495488
-928.00000000	25.38000000	0.00000000	5.06243946	0.00000000	0.00000000	9.22618558	2.30654640	5.90475877	0.00000000	0.00000000	-0.87495488
-928.00000000	25.56128571	0.00000000	5.07055850	0.00000000	0.00000000	9.25580285	2.31395071	5.92371382	0.00000000	0.00000000	-0.87495488
-928.00000000	25.74257143	0.00000000	5.07862015	0.00000000	0.00000000	9.28525776	2.32131444	5.94256497	0.00000000	0.00000000	-0.87495488
-928.00000000	25.92385714	0.00000000	5.08662524	0.00000000	0.00000000	9.31455227	2.32863807	5.96131345	0.00000000	0.00000000	-0.87495488
-928.00000000	26.10514286	0.00000000	5.09457454	0.00000000	0.00000000	9.34368829	2.33592207	5.97996051	0.00000000	0.00000000	-0.87495488
-928.00000000	26.28642857	0.00000000	5.10246882	0.00000000	0.00000000	9.37266771	2.34316693	5.99850733	0.00000000	0.00000000	-0.87495488
-928.00000000	26.46771429	0.00000000	5.11030885	0.00000000	0.00000000	9.40149236	2.35037309	6.01695511	0.00000000	0.00000000	-0.87495488
-928.00000000	26.64900000	0.00000000	5.11809537	0.00000000	0.00000000	9.43016406	2.35754102	6.03530500	0.00000000	0.00000000	-0.87495488
-928.00000000	26.83028571	0.00000000	5.12582909	0.00000000	0.00000000	9.45868458	2.36467115	6.05355813	0.00000000	0.00000000	-0.87495488
-928.00000000	27.01157143	0.00000000	5.13351073	0.00000000	0.00000000	9.48705568	2.37176392	6.07171563	0.00000000	0.00000000	-0.87495488
-928.00000000	27.19285714	0.00000000	5.14114099	0.00000000	0.00000000	9.51527906	2.37881976	6.08977860	0.00000000	0.00000000	-0.87495488
-928.00000000	27.37414286	0.00000000	5.14872056	0.00000000	0.00000000	9.54335641	2.38583910	6.10774810	0.00000000	0.00000000	-0.87495488
-928.00000000	27.55542857	0.00000000	5.15625009	0.00000000	0.00000000	9.57128938	2.39282235	6.12562520	0.00000000	0.00000000	-0.87495488
-928.00000000	27.73671429	0.00000000	5.16373024	0.00000000	0.00000000	9.59907961	2.39976990	6.14341095	0.00000000	0.00000000	-0.87495488
-928.00000000	27.91800000	0.00000000	5.17116167	0.00000000	0.00000000	9.62672868	2.40668217	6.16110635	0.00000000	0.00000000	-0.87495488
-928.00000000	28.09928571	0.00000000	5.17854499	0.00000000	0.00000000	9.65423817	2.41355954	6.17871243	0.00000000	0.00000000	-0.87495488
-928.00000000	28.28057143	0.00000000	5.18588084	0.00000000	0.00000000	9.68160962	2.42040241	6.19623016	0.00000000	0.00000000	-0.87495488
-928.00000000	28.46185714	0.00000000	5.19316981	0.00000000	0.00000000	9.70884455	2.42721114	6.21366051	0.00000000	0.00000000	-0.87495488
-928.00000000	28.64314286	0.00000000	5.20041250	0.00000000	0.00000000	9.73594445	2.43398611	6.23100445	0.00000000	0.00000000	-0.87495488
-928.00000000	28.82442857	0.00000000	5.20760949	0.00000000	0.00000000	9.76291078	2.44072769	6.24826290	0.00000000	0.00000000	-0.87495488
-928.00000000	29.00571429	0.00000000	5.21476136	0.00000000	0.00000000	9.78974498	2.44743625	6.26543679	0.00000000	0.00000000	-0.87495488
-928.00000000	29.18700000	0.00000000	5.22186867	0.00000000	0.00000000	9.81644848	2.45411212	6.28252703	0.00000000	0.00000000	-0.87495488
-928.00000000	29.36828571	0.00000000	5.22893198	0.00000000	0.00000000	9.84302266	2.46075567	6.29953450	0.00000000	0.00000000	-0.87495488
