runs,blockType,uStar,z0,disp,id,A,C,WS,delT,xPos,zPos,uStarNorm,uStar_2,z0_2,u10_2,uScaling
2530,B,0.2856408999536794,1.0394037207943443,0.13068714665248893,1.0,45.0,2.0,2.0,0.0,2.5,2.5,0.1428204499768397,0.2656288297467231,0.366,2.1429813409795795,1.0714906704897897
2530,Bx,0.33042412565871326,1.164522916932826,0.0,2.0,45.0,2.0,2.0,0.0,0.5,2.5,0.16521206282935663,0.304683438755309,0.366,2.458057450995401,1.2290287254977006
2530,Bxz,0.29793247189236055,1.1542702308101414,0.03197257477643257,1.0,45.0,2.0,2.0,0.0,0.5,0.5,0.14896623594618028,0.27494780434697486,0.366,2.2181628967784883,1.1090814483892442
2530,Bz,0.3278859867063378,1.146046973758723,0.0,2.0,45.0,2.0,2.0,0.0,2.5,0.5,0.1639429933531689,0.30268653533497947,0.366,2.4419472766081376,1.2209736383040688
2531,B,0.30549864642699903,1.1383772123383922,0.08059572524777289,1.0,45.0,2.0,2.0,5.0,2.5,2.5,0.15274932321349952,0.2822279916371797,0.366,2.2768963766369117,1.1384481883184558
2531,Bx,0.3337989534383189,1.0866352757358393,0.0,2.0,45.0,2.0,2.0,5.0,0.5,2.5,0.16689947671915945,0.3092254470880536,0.366,2.4947004581453647,1.2473502290726823
2531,Bxz,0.3076996924166899,1.1883840256626412,0.04263827610089246,1.0,45.0,2.0,2.0,5.0,0.5,0.5,0.15384984620834494,0.2833811956574435,0.366,2.2861999401850563,1.1430999700925282
2531,Bz,0.33421494171883204,1.0904090415567016,0.009789099660512522,2.0,45.0,2.0,2.0,5.0,2.5,0.5,0.16710747085941602,0.3095432055746575,0.366,2.4972639995666,1.2486319997833
2532,B,0.30440252686828906,1.0921499915210429,0.15646923543527555,1.0,45.0,2.0,2.0,5.0,2.5,2.5,0.15220126343414453,0.2822129472645373,0.366,2.276775004985008,1.138387502492504
2532,Bx,0.34284497448062534,1.1690869800856172,0.0,2.0,45.0,2.0,2.0,5.0,0.5,2.5,0.17142248724031267,0.31606243820289426,0.366,2.549858418226418,1.274929209113209
2532,Bxz,0.30829077524573567,1.120433979343558,0.07147712051464157,1.0,45.0,2.0,2.0,5.0,0.5,0.5,0.15414538762286784,0.28512222695398864,0.366,2.3002458462191084,1.1501229231095542
2532,Bz,0.3406304121122483,1.1466324355097552,0.0,2.0,45.0,2.0,2.0,5.0,2.5,0.5,0.17031520605612416,0.314466534248971,0.366,2.536983338369634,1.268491669184817
2540,B,0.5581272612595058,0.9397981222189505,0.2126473687713036,1.0,45.0,2.0,4.0,0.0,2.5,2.5,0.13953181531487646,0.523179554614081,0.366,4.220791939598619,1.0551979848996547
2540,Bx,0.7017127192987296,1.177622723846941,0.0,2.0,45.0,2.0,4.0,0.0,0.5,2.5,0.1754281798246824,0.6465684638462901,0.366,5.2162416067923925,1.3040604016980981
2540,Bxz,0.5816411668746669,1.0496507320341206,0.13553573628322832,1.0,45.0,2.0,4.0,0.0,0.5,0.5,0.14541029171866673,0.5405819886893053,0.366,4.361187436376554,1.0902968590941384
2540,Bz,0.6934200850178449,1.1385869471741508,0.012163047084921415,2.0,45.0,2.0,4.0,0.0,2.5,0.5,0.17335502125446123,0.6404387839689155,0.366,5.166789935390922,1.2916974838477304
2541,B,0.5342929752446162,1.146350020684668,0.050094733894852056,1.0,45.0,2.0,4.0,5.0,2.5,2.5,0.13357324381115404,0.49333272966368896,0.366,3.9800003469949052,0.9950000867487263
2541,Bx,0.5718940072301515,1.0686046680668078,0.0,2.0,45.0,2.0,4.0,5.0,0.5,2.5,0.14297350180753787,0.5304924881189821,0.366,4.279789602102986,1.0699474005257466
2541,Bxz,0.5377237827768204,1.1423637391426213,0.07457514112471497,1.0,45.0,2.0,4.0,5.0,0.5,0.5,0.1344309456942051,0.49680279624862567,0.366,4.007995380329828,1.001998845082457
2541,Bz,0.5500512274982876,0.9766854880478536,0.14216658888965494,2.0,45.0,2.0,4.0,5.0,2.5,0.5,0.1375128068745719,0.5137386263532937,0.366,4.14462651311353,1.0361566282783825
2542,B,0.5995869675130319,1.159351972124876,0.12851258497776538,1.0,45.0,2.0,4.0,5.0,2.5,2.5,0.14989674187825797,0.5534375687527813,0.366,4.464900833110509,1.1162252082776272
2542,Bx,0.6872132886548429,1.1849406420199087,0.0,2.0,45.0,2.0,4.0,5.0,0.5,2.5,0.17180332216371072,0.6329434176347833,0.366,5.106320481780909,1.2765801204452272
