roomA,C,windowType,ventilationRate
0,2,zwindow_2-0,-0.06229539291888118
45,2,zwindow_2-0,0.12459078583776233
90,2,zwindow_2-0,0.1513149836454241
135,2,zwindow_2-0,0.1206345096601371
180,2,zwindow_2-0,0.06229539291888116
225,2,zwindow_2-0,-0.12459078583776233
270,2,zwindow_2-0,-0.1513149836454241
315,2,zwindow_2-0,-0.12063450966013708
0,2,zwindow_2-1,0.06229539291888116
45,2,zwindow_2-1,-0.12459078583776233
90,2,zwindow_2-1,-0.1513149836454241
135,2,zwindow_2-1,-0.12063450966013708
180,2,zwindow_2-1,-0.06229539291888118
225,2,zwindow_2-1,0.12459078583776233
270,2,zwindow_2-1,0.1513149836454241
315,2,zwindow_2-1,0.1206345096601371
0,2,xwindow_0-0,0.08765738781333392
45,2,xwindow_0-0,-0.0762959629887236
90,2,xwindow_0-0,-0.14273667674889445
135,2,xwindow_0-0,-0.09849766467939466
180,2,xwindow_0-0,0.020472355158191274
225,2,xwindow_0-0,0.0
270,2,xwindow_0-0,-0.03685445146276398
315,2,xwindow_0-0,0.08357803995100639
0,2,zwindow_1-0,0.0
45,2,zwindow_1-0,0.0
90,2,zwindow_1-0,0.0
135,2,zwindow_1-0,0.0
180,2,zwindow_1-0,0.0
225,2,zwindow_1-0,0.0
270,2,zwindow_1-0,0.0
315,2,zwindow_1-0,0.0
0,2,xwindow_0-1,0.09976278780701173
45,2,xwindow_0-1,0.07750675240712009
90,2,xwindow_0-1,0.03791588113035168
135,2,xwindow_0-1,0.03811069546107282
180,2,xwindow_0-1,0.033673394150119614
225,2,xwindow_0-1,-0.14845390553505589
270,2,xwindow_0-1,-0.19780556509932803
315,2,xwindow_0-1,0.03811114487302488
0,2,zwindow_0-1,-0.05119478431116583
45,2,zwindow_0-1,-0.0312728651286288
90,2,zwindow_0-1,-0.019456645040771225
135,2,zwindow_0-1,-0.04516878648468845
180,2,zwindow_0-1,-0.04998452443184532
225,2,zwindow_0-1,0.09490608917625369
270,2,zwindow_0-1,0.09686025063052375
315,2,zwindow_0-1,-0.045168407294184275
0,2,zwindow_1-1,-0.048567622270045324
45,2,zwindow_1-1,-0.04623357418191426
90,2,zwindow_1-1,-0.018458136787354935
135,2,zwindow_1-1,0.007059237269501814
180,2,zwindow_1-1,0.01631253509388301
225,2,zwindow_1-1,0.05354893561462641
270,2,zwindow_1-1,0.10094574430565662
315,2,zwindow_1-1,0.007061474363132909
0,3,zwindow_2-0,-0.08721355008643364
45,3,zwindow_2-0,0.17442710017286725
90,3,zwindow_2-0,0.2118409771035937
135,3,zwindow_2-0,0.16888831352419192
180,3,zwindow_2-0,0.08721355008643361
225,3,zwindow_2-0,-0.17442710017286725
270,3,zwindow_2-0,-0.2118409771035937
315,3,zwindow_2-0,-0.1688883135241919
0,3,zwindow_2-1,0.08721355008643361
45,3,zwindow_2-1,-0.17442710017286725
90,3,zwindow_2-1,-0.2118409771035937
135,3,zwindow_2-1,-0.1688883135241919
180,3,zwindow_2-1,-0.08721355008643364
225,3,zwindow_2-1,0.17442710017286725
270,3,zwindow_2-1,0.2118409771035937
315,3,zwindow_2-1,0.16888831352419192
0,3,xwindow_0-0,0.14609564635555652
45,3,xwindow_0-0,-0.10681434818421304
90,3,xwindow_0-0,-0.1998313474484522
135,3,xwindow_0-0,-0.1378967305511525
180,3,xwindow_0-0,0.03412059193031879
225,3,xwindow_0-0,0.0
270,3,xwindow_0-0,-0.051596232047869575
315,3,xwindow_0-0,0.13929673325167732
0,3,zwindow_1-0,0.0
45,3,zwindow_1-0,0.0
90,3,zwindow_1-0,0.0
135,3,zwindow_1-0,0.0
180,3,zwindow_1-0,0.0
225,3,zwindow_1-0,0.0
270,3,zwindow_1-0,0.0
315,3,zwindow_1-0,0.0
0,3,xwindow_0-1,0.1662713130116862
45,3,xwindow_0-1,0.12917792067853348
90,3,xwindow_0-1,0.0631931352172528
135,3,xwindow_0-1,0.0635178257684547
180,3,xwindow_0-1,0.05612232358353269
225,3,xwindow_0-1,-0.20783546774907824
270,3,xwindow_0-1,-0.27692779113905924
315,3,xwindow_0-1,0.0635185747883748
0,3,zwindow_0-1,-0.08532464051860972
45,3,zwindow_0-1,-0.052121441881047996
90,3,zwindow_0-1,-0.03242774173461871
135,3,zwindow_0-1,-0.07528131080781408
180,3,zwindow_0-1,-0.0833075407197422
225,3,zwindow_0-1,0.13286852484675515
270,3,zwindow_0-1,0.13560435088273323
315,3,zwindow_0-1,-0.07528067882364047
0,3,zwindow_1-1,-0.08094603711674221
45,3,zwindow_1-1,-0.0770559569698571
90,3,zwindow_1-1,-0.030763561312258228
135,3,zwindow_1-1,0.01176539544916969
180,3,zwindow_1-1,0.027187558489805017
225,3,zwindow_1-1,0.07496850986047697
270,3,zwindow_1-1,0.14132404202791926
315,3,zwindow_1-1,0.01176912393855485
