roomA,C,windowType,ventilationRate
0,2,zwindow_2-0,-0.06229539291888118
45,2,zwindow_2-0,0.12459078583776233
90,2,zwindow_2-0,0.1513149836454241
135,2,zwindow_2-0,0.1206345096601371
180,2,zwindow_2-0,0.06229539291888116
225,2,zwindow_2-0,-0.12459078583776233
270,2,zwindow_2-0,-0.1513149836454241
315,2,zwindow_2-0,-0.12063450966013708
0,2,zwindow_2-1,0.06229539291888116
45,2,zwindow_2-1,-0.12459078583776233
90,2,zwindow_2-1,-0.1513149836454241
135,2,zwindow_2-1,-0.12063450966013708
180,2,zwindow_2-1,-0.06229539291888118
225,2,zwindow_2-1,0.12459078583776233
270,2,zwindow_2-1,0.1513149836454241
315,2,zwindow_2-1,0.1206345096601371
0,2,xwindow_0-0,0.08765738781333392
45,2,xwindow_0-0,-0.0762959629887236
90,2,xwindow_0-0,-0.14273667674889445
135,2,xwindow_0-0,-0.09849766467939466
180,2,xwindow_0-0,0.020472355158191274
225,2,xwindow_0-0,0.0
270,2,xwindow_0-0,-0.03685445146276398
315,2,xwindow_0-0,0.08357803995100639
0,2,zwindow_1-0,0.0
45,2,zwindow_1-0,0.0
90,2,zwindow_1-0,0.0
135,2,zwindow_1-0,0.0
180,2,zwindow_1-0,0.0
225,2,zwindow_1-0,0.0
270,2,zwindow_1-0,0.0
315,2,zwindow_1-0,0.0
0,2,xwindow_0-1,0.09976278780698404
45,2,xwindow_0-1,0.07750675240712028
90,2,xwindow_0-1,0.037915881140522176
135,2,xwindow_0-1,0.03811069546318369
180,2,xwindow_0-1,0.03367339415012225
225,2,xwindow_0-1,-0.1484539055350634
270,2,xwindow_0-1,-0.1978055650992808
315,2,xwindow_0-1,0.0381111448730902
0,2,zwindow_0-1,-0.05119478431121977
45,2,zwindow_0-1,-0.03127286512862829
90,2,zwindow_0-1,-0.0194566450209516
135,2,zwindow_0-1,-0.04516878648290743
180,2,zwindow_0-1,-0.04998452443184354
225,2,zwindow_0-1,0.09490608917624188
270,2,zwindow_0-1,0.09686025063062019
315,2,zwindow_0-1,-0.04516840729412917
0,2,zwindow_1-1,-0.04856762227006705
45,2,zwindow_1-1,-0.04623357418191393
90,2,zwindow_1-1,-0.018458136765170677
135,2,zwindow_1-1,0.007059237284564018
180,2,zwindow_1-1,0.016312535093888247
225,2,zwindow_1-1,0.05354893561460853
270,2,zwindow_1-1,0.10094574430576256
315,2,zwindow_1-1,0.007061474363454494
0,3,zwindow_2-0,-0.08721355008643364
45,3,zwindow_2-0,0.17442710017286725
90,3,zwindow_2-0,0.2118409771035937
135,3,zwindow_2-0,0.16888831352419192
180,3,zwindow_2-0,0.08721355008643361
225,3,zwindow_2-0,-0.17442710017286725
270,3,zwindow_2-0,-0.2118409771035937
315,3,zwindow_2-0,-0.1688883135241919
0,3,zwindow_2-1,0.08721355008643361
45,3,zwindow_2-1,-0.17442710017286725
90,3,zwindow_2-1,-0.2118409771035937
135,3,zwindow_2-1,-0.1688883135241919
180,3,zwindow_2-1,-0.08721355008643364
225,3,zwindow_2-1,0.17442710017286725
270,3,zwindow_2-1,0.2118409771035937
315,3,zwindow_2-1,0.16888831352419192
0,3,xwindow_0-0,0.14609564635555652
45,3,xwindow_0-0,-0.10681434818421304
90,3,xwindow_0-0,-0.1998313474484522
135,3,xwindow_0-0,-0.1378967305511525
180,3,xwindow_0-0,0.03412059193031879
225,3,xwindow_0-0,0.0
270,3,xwindow_0-0,-0.051596232047869575
315,3,xwindow_0-0,0.13929673325167732
0,3,zwindow_1-0,0.0
45,3,zwindow_1-0,0.0
90,3,zwindow_1-0,0.0
135,3,zwindow_1-0,0.0
180,3,zwindow_1-0,0.0
225,3,zwindow_1-0,0.0
270,3,zwindow_1-0,0.0
315,3,zwindow_1-0,0.0
0,3,xwindow_0-1,0.16627131301164008
45,3,xwindow_0-1,0.12917792067853381
90,3,xwindow_0-1,0.06319313523420363
135,3,xwindow_0-1,0.06351782577197282
180,3,xwindow_0-1,0.05612232358353709
225,3,xwindow_0-1,-0.20783546774908876
270,3,xwindow_0-1,-0.2769277911389931
315,3,xwindow_0-1,0.06351857478848366
0,3,zwindow_0-1,-0.08532464051869962
45,3,zwindow_0-1,-0.052121441881047156
90,3,zwindow_0-1,-0.032427741701586
135,3,zwindow_0-1,-0.07528131080484572
180,3,zwindow_0-1,-0.08330754071973924
225,3,zwindow_0-1,0.1328685248467386
270,3,zwindow_0-1,0.13560435088286826
315,3,zwindow_0-1,-0.07528067882354862
0,3,zwindow_1-1,-0.08094603711677842
45,3,zwindow_1-1,-0.07705595696985655
90,3,zwindow_1-1,-0.03076356127528446
135,3,zwindow_1-1,0.011765395474273363
180,3,zwindow_1-1,0.02718755848981375
225,3,zwindow_1-1,0.07496850986045193
270,3,zwindow_1-1,0.14132404202806756
315,3,zwindow_1-1,0.011769123939090824
